detection_value,reward,turn,episode,adversarial,actions_taken,malware
0.9941276246477508,4.690387269627344,1,1,0,[upx_unpack],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9946636929017437,5.1922816703201535,2,1,0,[upx_unpack; section_rename],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9886332339007111,5.701753673784201,3,1,0,[upx_unpack; section_rename; section_add],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9799061111083878,6.184230467375714,4,1,0,[upx_unpack; section_rename; section_add; overlay_append],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9888193815875562,5.365949500690103,5,1,0,[upx_unpack; section_rename; section_add; overlay_append; section_add],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9825276986242258,4.699859273091391,6,1,0,[section_add],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9799061111083878,5.183756867202511,7,1,0,[section_add; overlay_append],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9914405116320552,5.713120077941057,8,1,0,[section_add; overlay_append; section_append],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9914405116320552,6.213120077941057,9,1,0,[section_add; overlay_append; section_append; remove_debug],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9914405116320552,5.370496062352846,10,1,0,[section_add; overlay_append; section_append; remove_debug; remove_debug],921a18778b2b04c82544db9080c1d040bb91f5466cd805ab6900bf5d93d8bb04
0.9918302585452633,4.731737339228296,1,2,0,[section_rename],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9921387859453883,5.231266328376206,2,2,0,[section_rename; overlay_append],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9913693404134007,4.584824658360129,3,2,0,[section_rename; overlay_append; overlay_append],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9913693404134007,4.984824658360129,4,2,0,[section_rename; overlay_append; overlay_append; remove_signature],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9753831925566027,3.387085510450161,5,2,0,[section_rename; overlay_append; overlay_append; remove_signature; section_add],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9913693404134007,4.73008880124598,6,2,0,[overlay_append],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9913693404134007,5.23008880124598,7,2,0,[overlay_append; remove_signature],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.984324676307897,3.232443855506431,8,2,0,[overlay_append; remove_signature; section_add],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9918302585452633,4.731737339228296,9,2,0,[section_rename],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.985563478323717,5.232679360932476,10,2,0,[section_rename; imports_append],5bfead6f52092540bbd6c501d647d81a47afc5999742d64eef856d3935e9c09e
0.9737887856221281,4.711010927414788,1,3,0,[overlay_append],28d9aa1d8dc21fafb3e50395045419af3f8cc0a20e6f54b6332c891203a67187
0.9041940611931552,5.211612501415468,2,3,0,[overlay_append; imports_append],28d9aa1d8dc21fafb3e50395045419af3f8cc0a20e6f54b6332c891203a67187
