detection_value,reward,turn,episode,adversarial,actions_taken,malware
0.99584179230266,3.9600000000000004,1,1,0,[section_append],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.99584179230266,4.62,2,1,0,[section_append; section_rename],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.99584179230266,5.28,3,1,0,[section_append; section_rename; remove_debug],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.99584179230266,4.752000000000001,4,1,0,[section_append; section_rename; remove_debug; section_append],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9956280655523643,5.280000000000001,5,1,0,[section_append; section_rename; remove_debug; section_append; overlay_append],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.99584179230266,3.9600000000000004,6,1,0,[remove_debug],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9782270993070952,4.62,7,1,0,[remove_debug; upx_pack],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9842111771002714,5.28,8,1,0,[remove_debug; upx_pack; break_optional_header_checksum],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9782270993070952,4.752000000000001,9,1,0,[remove_debug; upx_pack; break_optional_header_checksum; upx_pack],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9782270993070952,3.96,10,1,0,[remove_debug; upx_pack; break_optional_header_checksum; upx_pack; upx_pack],d851f8f70b95c52ff1f89e8495f51caa9a2ed2d989c5be240e52522aba235be5
0.9925516958188961,3.9600000000000004,1,2,0,[remove_debug],eac3ee70057f95ccd5fe99486e31fe3688d3c52e98d38a1ea8f3060077975284
0.9925516958188961,3.696,2,2,0,[remove_debug; remove_debug],eac3ee70057f95ccd5fe99486e31fe3688d3c52e98d38a1ea8f3060077975284
