detection_value,reward,turn,episode,adversarial,actions_taken,malware
0.9475411980326746,4.508574695121951,1,1,0,[section_rename],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9541038509898337,4.008860518292683,2,1,0,[section_rename; section_rename],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9134026917871574,2.4122903963414637,3,1,0,[section_rename; section_rename; section_add],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,4.506431021341463,4,1,0,[overlay_append],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,5.006431021341463,5,1,0,[overlay_append; upx_unpack],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,4.506431021341463,6,1,0,[upx_unpack],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,4.0051448170731705,7,1,0,[upx_unpack; upx_unpack],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,4.405144817073171,8,1,0,[upx_unpack; upx_unpack; remove_debug],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,3.6038586128048777,9,1,0,[upx_unpack; upx_unpack; remove_debug; upx_unpack],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9475411980326746,3.9038586128048776,10,1,0,[upx_unpack; upx_unpack; remove_debug; upx_unpack; upx_unpack],cf2ff04489dc25d7d517d94ab9f798cb3a404086744a7228f2e71133a9e9f099
0.9792435015235178,4.506902405104712,1,2,0,[remove_debug],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9792435015235178,5.006902405104712,2,2,0,[remove_debug; section_append],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9768782498333686,5.508308450589006,3,2,0,[remove_debug; section_append; imports_append],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9768782498333686,6.008308450589006,4,2,0,[remove_debug; section_append; imports_append; break_optional_header_checksum],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9907561288050111,6.508947562172775,5,2,0,[remove_debug; section_append; imports_append; break_optional_header_checksum; section_rename],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9792435015235178,4.506902405104712,6,2,0,[remove_debug],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9792435015235178,5.006902405104712,7,2,0,[remove_debug; break_optional_header_checksum],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9792435015235178,4.40552192408377,8,2,0,[remove_debug; break_optional_header_checksum; break_optional_header_checksum],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9067727269156881,3.6,9,2,0,[remove_debug; break_optional_header_checksum; break_optional_header_checksum; upx_unpack],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
0.9067727269156881,4.0,10,2,0,[remove_debug; break_optional_header_checksum; break_optional_header_checksum; upx_unpack; remove_signature],f8edd5eac9dff3f1112360c223a2cb0426bc687865ff75321ddd42f638a13ddf
